

央视,#genre#
CCTV1,http://025365.xyz:18098/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV2,http://025365.xyz:18098/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV3,http://025365.xyz:18098/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4,http://025365.xyz:18098/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV5,http://025365.xyz:18098/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://025365.xyz:18098/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV6,http://025365.xyz:18098/itv/6000000001000004574.m3u8?cdn=wasusyt
CCTV7,http://025365.xyz:18098/itv/6000000001000009055.m3u8?cdn=wasusyt
CCTV8,http://025365.xyz:18098/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9,http://025365.xyz:18098/itv/6000000001000032162.m3u8?cdn=wasusyt
CCTV10,http://025365.xyz:18098/itv/5000000004000012827.m3u8?cdn=bestzb
CCTV11,http://025365.xyz:18098/itv/5000000011000031106.m3u8?cdn=bestzb
CCTV12,http://025365.xyz:18098/itv/6000000001000022586.m3u8?cdn=wasusyt
CCTV13,http://025365.xyz:18098/itv/5000000011000031108.m3u8?cdn=bestzb
CCTV14,http://025365.xyz:18098/itv/5000000004000006673.m3u8?cdn=bestzb
CCTV15,http://025365.xyz:18098/itv/5000000011000031109.m3u8?cdn=bestzb
CCTV16,http://025365.xyz:18098/ysptp/cctv16.m3u8
CCTV17,http://025365.xyz:18098/itv/1000000005000265015.m3u8?cdn=ystenlive
CCTV4K,http://025365.xyz:18098/ysptp/cctv4k.m3u8
CETV1,http://025365.xyz:18098/itv/5000000002000002652.m3u8?cdn=bestzb
CETV4,http://025365.xyz:18098/itv/5000000011000031126.m3u8?cdn=bestzb
CGTN,http://025365.xyz:18098/itv/7745129417417101820.m3u8?cdn=hnbblive

卫视,#genre#
安徽卫视,http://025365.xyz:18098/itv/6000000001000009954.m3u8?cdn=wasusyt
北京卫视,http://025365.xyz:18098/itv/1000000005000265027.m3u8?cdn=ystenlive
重庆卫视,http://025365.xyz:18098/itv/1000000005000265017.m3u8?cdn=ystenlive
东方卫视,http://025365.xyz:18098/itv/5000000004000014098.m3u8?cdn=bestzb
东南卫视,http://025365.xyz:18098/itv/1000000005000265033.m3u8?cdn=ystenlive
甘肃卫视,http://025365.xyz:18098/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://025365.xyz:18098/itv/6000000001000031076.m3u8?cdn=wasusyt
广西卫视,http://025365.xyz:18098/itv/5000000011000031118.m3u8?cdn=bestzb
贵州卫视,http://025365.xyz:18098/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://025365.xyz:18098/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://025365.xyz:18098/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://025365.xyz:18098/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://025365.xyz:18098/itv/6000000001000016510.m3u8?cdn=wasusyt
湖北卫视,http://025365.xyz:18098/itv/6000000001000015436.m3u8?cdn=wasusyt
湖南卫视,http://025365.xyz:18098/itv/6000000001000018044.m3u8?cdn=wasusyt
吉林卫视,http://025365.xyz:18098/itv/5000000011000031117.m3u8?cdn=bestzb
江苏卫视,http://025365.xyz:18098/itv/6000000001000014861.m3u8?cdn=wasusyt
江西卫视,http://025365.xyz:18098/itv/1000000005000265032.m3u8?cdn=ystenlive
辽宁卫视,http://025365.xyz:18098/itv/1000000005000265022.m3u8?cdn=ystenlive
青海卫视,http://025365.xyz:18098/itv/1000000002000013359.m3u8?cdn=ystenlive
